x,y
0.1,0.099833417
0.2,0.198669331
0.3,0.295520207
0.4,0.389418342
0.5,0.479425539
0.6,0.564642473
0.7,0.644217687
0.8,0.717356091
0.9,0.78332691
1,0.841470985
1.1,0.89120736
1.2,0.932039086
1.3,0.963558185
1.4,0.98544973
1.5,0.997494987
1.6,0.999573603
1.7,0.99166481
1.8,0.973847631
1.9,0.946300088
2,0.909297427
2.1,0.863209367
2.2,0.808496404
2.3,0.745705212
2.4,0.675463181
2.5,0.598472144
2.6,0.515501372
2.7,0.42737988
2.8,0.33498815
2.9,0.239249329
3,0.141120008
3.1,0.041580662
3.2,-0.058374143
3.3,-0.157745694
3.4,-0.255541102
3.5,-0.350783228
3.6,-0.442520443
3.7,-0.529836141
3.8,-0.611857891
3.9,-0.687766159
4,-0.756802495
4.1,-0.818277111
4.2,-0.871575772
4.3,-0.916165937
4.4,-0.951602074
4.5,-0.977530118
4.6,-0.993691004
4.7,-0.999923258
4.8,-0.996164609
4.9,-0.982452613
5,-0.958924275
5.1,-0.925814682
5.2,-0.883454656
5.3,-0.832267442
5.4,-0.772764488
5.5,-0.705540326
5.6,-0.631266638
5.7,-0.550685543
5.8,-0.464602179
5.9,-0.373876665
6,-0.279415498
6.1,-0.182162504
6.2,-0.083089403
6.3,0.0168139
6.4,0.116549205
6.5,0.215119988
6.6,0.311541364
6.7,0.404849921
6.8,0.494113351
6.9,0.578439764
7,0.656986599
7.1,0.72896904
7.2,0.793667864
7.3,0.850436621
7.4,0.898708096
7.5,0.937999977
7.6,0.967919672
7.7,0.988168234
7.8,0.998543345
7.9,0.998941342
8,0.989358247
8.1,0.969889811
8.2,0.940730557
8.3,0.902171834
8.4,0.854598908
8.5,0.798487113
8.6,0.734397098
8.7,0.66296923
8.8,0.584917193
8.9,0.501020856
9,0.412118485
9.1,0.319098362
9.2,0.222889914
9.3,0.124454424
9.4,0.024775425
9.5,-0.07515112
9.6,-0.174326781
9.7,-0.271760626
9.8,-0.366479129
9.9,-0.457535894
10,-0.544021111
10.1,-0.625070649
10.2,-0.699874688
10.3,-0.76768581
10.4,-0.827826469
10.5,-0.87969576
10.6,-0.922775422
10.7,-0.956635016
10.8,-0.98093623
10.9,-0.995436253
11,-0.999990207
11.1,-0.994552588
11.2,-0.979177729
11.3,-0.95401925
11.4,-0.919328526
11.5,-0.875452175
11.6,-0.822828595
11.7,-0.761983584
11.8,-0.693525085
11.9,-0.618137112
12,-0.536572918
12.1,-0.449647465
12.2,-0.358229282
12.3,-0.263231791
12.4,-0.165604175
12.5,-0.066321897
12.6,0.033623047
12.7,0.133232041
12.8,0.231509825
12.9,0.327474439
13,0.420167037
13.1,0.508661464
13.2,0.592073515
13.3,0.669569762
13.4,0.74037589
13.5,0.803784427
13.6,0.859161815
13.7,0.905954742
13.8,0.943695669
13.9,0.972007501
14,0.990607356
14.1,0.999309389
14.2,0.998026653
14.3,0.986771964
14.4,0.965657777
14.5,0.934895056
14.6,0.894791172
14.7,0.845746831
14.8,0.788252067
14.9,0.72288135
15,0.65028784
15.1,0.57119687
15.2,0.486398689
15.3,0.396740573
15.4,0.303118357
15.5,0.206467482
15.6,0.107753652
15.7,0.007963184
15.8,-0.09190685
15.9,-0.190858581
16,-0.287903317
16.1,-0.382071417
16.2,-0.472421986
16.3,-0.558052271
16.4,-0.638106682
16.5,-0.711785342
16.6,-0.778352079
16.7,-0.837141778
16.8,-0.887567034
16.9,-0.929124013
17,-0.961397492
17.1,-0.984065005
17.2,-0.996900066
17.3,-0.999774431
17.4,-0.99265938
17.5,-0.975626005
17.6,-0.948844498
17.7,-0.91258245
17.8,-0.867202179
17.9,-0.813157112
18,-0.750987247
18.1,-0.681313766
18.2,-0.604832822
18.3,-0.52230859
18.4,-0.434565622
18.5,-0.342480618
18.6,-0.246973662
18.7,-0.148999026
18.8,-0.049535641
18.9,0.050422688
19,0.14987721
19.1,0.247834208
19.2,0.343314929
19.3,0.43536536
19.4,0.523065765
19.5,0.60553987
19.6,0.68196362
19.7,0.751573415
19.8,0.813673738
19.9,0.867644101
20,0.912945251
20.1,0.949124554
20.2,0.975820518
20.3,0.992766406
20.4,0.9997929
20.5,0.996829794
20.6,0.983906695
20.7,0.961152725
20.8,0.928795234
20.9,0.887157529
21,0.836655639
21.1,0.777794162
21.2,0.711161223
21.3,0.637422596
21.4,0.557315054
21.5,0.471639003
21.6,0.381250492
21.7,0.287052651
21.8,0.189986676
21.9,0.091022416
22,-0.008851309
22.1,-0.108636595
22.2,-0.207336421
22.3,-0.303964609
22.4,-0.397555683
22.5,-0.487174512
22.6,-0.571925655
22.7,-0.650962306
22.8,-0.723494756
22.9,-0.788798286
23,-0.846220404
23.1,-0.895187368
23.2,-0.935209915
23.3,-0.965888154
23.4,-0.986915558
23.5,-0.998082028
23.6,-0.999275992
23.7,-0.990485521
23.8,-0.971798446
23.9,-0.943401482
24,-0.905578362
24.1,-0.858707003
24.2,-0.803255727
24.3,-0.739778585
24.4,-0.66890982
24.5,-0.59135753
24.6,-0.50789659
24.7,-0.419360916
24.8,-0.326635126
24.9,-0.230645706
25,-0.13235175
25.1,-0.032735379
25.2,0.067208073
25.3,0.166480004
25.4,0.264088521
25.5,0.359058354
25.6,0.450440594
25.7,0.537322181
25.8,0.618835022
25.9,0.694164668
26,0.76255845
26.1,0.823333001
26.2,0.87588108
26.3,0.919677645
26.4,0.954285094
26.5,0.979357643
26.6,0.994644774
26.7,0.999993743
26.8,0.995351105
26.9,0.980763248
27,0.956375928
27.1,0.922432817
27.2,0.879273062
27.3,0.827327901
27.4,0.767116353
27.5,0.699240032
27.6,0.624377135
27.7,0.543275669
27.8,0.456745972
27.9,0.36565262
28,0.270905788
28.1,0.173452155
28.2,0.074265446
28.3,-0.0256633
28.4,-0.125335626
28.5,-0.22375564
28.6,-0.319939962
28.7,-0.412927549
28.8,-0.501789301
28.9,-0.58563734
29,-0.663633884
29.1,-0.734999618
29.2,-0.799021479
29.3,-0.855059781
29.4,-0.902554608
29.5,-0.941031408
29.6,-0.970105734
29.7,-0.989487083
29.8,-0.998981805
29.9,-0.998495031
30,-0.988031624
30.1,-0.967696132
30.2,-0.93769174
30.3,-0.898318243
30.4,-0.849969046
30.5,-0.793127239
30.6,-0.728360768
30.7,-0.656316756
30.8,-0.577715044
30.9,-0.493340995
31,-0.404037645
31.1,-0.310697285
31.2,-0.21425254
31.3,-0.115667055
31.4,-0.015925863
31.5,0.083974456
31.6,0.183035729
31.7,0.28026817
31.8,0.374700264
31.9,0.465388476
32,0.551426681
32.1,0.631955213
32.2,0.706169457
32.3,0.77332789
32.4,0.832759485
32.5,0.883870424
32.6,0.926150021
32.7,0.959175833
32.8,0.982617877
32.9,0.996241929
33,0.99991186
33.1,0.993591003
33.2,0.977342512
33.3,0.951328739
33.4,0.915809603
33.5,0.87114
33.6,0.817766255
33.7,0.756221659
33.8,0.687121146
33.9,0.611155146
34,0.529082686
34.1,0.441723807
34.2,0.349951369
34.3,0.254682333
34.4,0.156868595
34.5,0.057487478
34.6,-0.042468035
34.7,-0.141999221
34.8,-0.240111598
34.9,-0.335824859
35,-0.428182669
35.1,-0.51626222
35.2,-0.599183449
35.3,-0.676117835
35.4,-0.746296676
35.5,-0.809018766
35.6,-0.863657409
35.7,-0.909666672
35.8,-0.946586846
35.9,-0.974049038
36,-0.991778853
36.1,-0.999599143
36.2,-0.997431767
36.3,-0.985298384
36.4,-0.963320224
36.5,-0.931716888
36.6,-0.890804144
36.7,-0.84099078
36.8,-0.782774514
36.9,-0.716737023
37,-0.643538133
37.1,-0.563909223
37.2,-0.478645919
37.3,-0.388600142
37.4,-0.294671602
37.5,-0.1977988
37.6,-0.098949658
37.7,0.000888157
37.8,0.100717097
37.9,0.199539705
38,0.296368579
38.1,0.390236235
38.2,0.48020478
38.3,0.565375278
38.4,0.644896733
38.5,0.717974593
38.6,0.783878688
38.7,0.841950526
38.8,0.891609873
38.9,0.932360549
39,0.963795386
39.1,0.985600299
39.2,0.997557419
39.3,0.999547275
39.4,0.991549985
39.5,0.973645456
39.6,0.946012583
39.7,0.908927465
39.8,0.862760644
39.9,0.807973404
40,0.74511316
40.1,0.674807993
40.2,0.597760367
40.3,0.514740117
40.4,0.426576754
40.5,0.334151177
40.6,0.238386872
40.7,0.140240684
40.8,0.040693257
40.9,-0.059260763
41,-0.158622669
41.1,-0.25639967
41.2,-0.35161481
41.3,-0.443316731
41.4,-0.530589178
41.5,-0.612560153
41.6,-0.68841063
41.7,-0.757382735
41.8,-0.818787322
41.9,-0.872010857
42,-0.916521548
42.1,-0.951874658
42.2,-0.977716952
42.3,-0.993790221
42.4,-0.999933866
42.5,-0.996086503
42.6,-0.982286573
42.7,-0.95867196
42.8,-0.925478614
42.9,-0.883038191
43,-0.831774743
43.1,-0.772200476
43.2,-0.704910637
43.3,-0.630577565
43.4,-0.54994397
43.5,-0.463815516
43.6,-0.373052771
43.7,-0.278562606
43.8,-0.181289136
43.9,-0.082204284
44,0.017701925
44.1,0.117431263
44.2,0.215987266
44.3,0.312385196
44.4,0.405661877
44.5,0.494885318
44.6,0.579164028
44.7,0.657655923
44.8,0.729576737
44.9,0.794207862
45,0.850903525
45.1,0.89909724
45.2,0.938307473
45.3,0.968142448
45.4,0.988304064
45.5,0.998590872
45.6,0.998900091
45.7,0.98922863
45.8,0.969673123
45.9,0.940428963
46,0.901788348
46.1,0.854137361
46.2,0.797952117
46.3,0.733793998
46.4,0.662304053
46.5,0.584196584
46.6,0.500252017
46.7,0.411309096
46.8,0.318256511
46.9,0.222024012
47,0.123573123
47.1,0.023887532
47.2,-0.076036736
47.3,-0.17520127
47.4,-0.27261525
47.5,-0.367305349
47.6,-0.458325454
47.7,-0.544766123
47.8,-0.625763669
47.9,-0.700508791
48,-0.768254661
48.1,-0.828324385
48.2,-0.880117764
48.3,-0.923117298
48.4,-0.95689335
48.5,-0.981108439
48.6,-0.995520616
48.7,-0.999985881
48.8,-0.994459618
48.9,-0.978997043
49,-0.953752653
49.1,-0.918978681
49.2,-0.875022579
49.3,-0.82232354
49.4,-0.761408116
49.5,-0.692884954
49.6,-0.617438715
49.7,-0.535823232
49.8,-0.44885398
49.9,-0.357399928
50,-0.262374854
